date,final_skew,symbol
20170104,107.52546202243059,CLH17
20170105,108.65545626226476,CLH17
20170106,109.16657178359324,CLH17
20170109,107.48608138853261,CLH17
20170110,107.44062534177415,CLH17
20170111,107.30665336255504,CLH17
20170112,107.24542615403932,CLH17
20170113,107.15554337851597,CLH17
20170117,106.25755604888838,CLH17
20170118,106.19596922913664,CLH17
20170119,107.07420993597802,CLH17
20170120,106.78231669070239,CLH17
20170123,105.53286157884392,CLH17
20170124,105.03314048401364,CLH17
20170125,104.71750754683892,CLH17
20170126,105.18363475535361,CLH17
20170127,104.03078021879057,CLH17
20170130,105.50731494442975,CLH17
20170131,105.2339602995764,CLH17
20170201,105.14118793600585,CLH17
20170202,104.81776070401888,CLH17
20170203,103.35105872878182,CLH17
20161205,112.56814646530408,CLJ17
20161206,111.99238342034509,CLJ17
